Aufnahmesigle;Ort;Y;X;Beleg;Auslaut;Verwendung;Kommentar
ZW--_E_01532;Neukirchen beim Heiligen Blut ;49,26;12,97;Das Werk braucht eine Erdleitung. Da ist kein Nuller;T;VV;
ZW--_E_01535;Viechtach;49,08;12,88;Man braucht eigentlich viel Zeit dazu.;NULL;VV;
ZW--_E_01551;Bogen;48,91;12,69;oder Fenster, die gerade einer braucht, Fensterrahmen und so Aushilf Reparaturarbeit mache ich jetzt immer;T;VV;
ZW--_E_01582;Ofterschwang;47,5;10,24;Ja, ja, da braucht man kein Fressen sorgen, weißt.;T;VV;
ZW--_E_01595;Neustadt an der Weinstraße;49,35;8,15;weiter, daß man sich nicht schämen braucht. Na ja, und da hat man sich halt;T;MV;
ZW--_E_01595;Neustadt an der Weinstraße;49,35;8,15;"bist, nicht wahr?"" Und da braucht	man doch nichts zu machen ";NULL;MV;
ZW--_E_01601;Rhodt unter Rietburg;49,27;8,11;nur noch auf den Knopf zu drücken braucht und die Musik ist schon da und so weiter,;T;MV;
ZW--_E_01602;Rhodt unter Rietburg;49,27;8,11;und Hacken und was man da alles braucht zum jungen Wingert setzen. Also sie fahren einmal;NULL;VV;
ZW--_E_01609;Niederhorbach;49,12;8,03;ganze Wochen und sonntags und der Emil braucht keine Hand anzurühren, das koche ich alles. Heute;NULL;MV;
ZW--_E_01609;Niederhorbach;49,12;8,03;sie in die Milchzentrale tragen. Da braucht man keinen Korb mehr auf den Kopf zu nehme und;NULL;MV;
ZW--_E_01614;Neuburg am Rhein ;48,99;8,25;viel, was man so für sich braucht, bißchen Weizen und für's Vieh Futter, Zuckerrüben und;T;VV;
ZW--_E_01614;Neuburg am Rhein ;48,99;8,25;Was man für's Vieh und für sich braucht. Mehr brauchen wir nicht, als was wir Bauern;T;VV;
ZW--_E_01622;Jochgrim;49,1;8,28;man- Es ist so, man braucht - es ist so, am Kerwesonntag braucht man mehr;NULL;VV;
ZW--_E_01622;Jochgrim;49,1;8,28; es ist so, am Kerwesonntag braucht man mehr Geld als wie an einem anderen Sonntag,;NULL;VV;
ZW--_E_01622;Jochgrim;49,1;8,28;das muß man wieder rechnen so, braucht man einmal kein Geld dafür. Und Du, gehst;NULL;VV;
ZW--_E_01645;Kleinniedersheim ;49,59;8,32;macht es nur fertig, Wein braucht ihr dann keinen mehr heimzuholen. Und so war es;NULL;MV;
ZW--_E_01650;Bockenheim an der Weinstraße;49,6;8,18;nicht- weil man ein bißchen Stroh braucht für Fischel festzumachen. Na und da bin ich dann;T;VV;
ZW--_E_01650;Bockenheim an der Weinstraße;49,6;8,18;daß man sich nicht so zu bücken braucht und schön unten die Stöcke heraus hacken kann;NULL;MV;
ZW--_E_01658;Winnweiler;49,57;7,85;Und man kann's nicht stehenlassen, bis morgen, wenn man's braucht.;NULL;VV;
ZW--_E_01658;Winnweiler;49,57;7,85;Produkt, wo man überhaupt gar nicht braucht, - so ein Stückchen nicht. Und wenn acht;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01658;Winnweiler;49,57;7,85;in acht Tagen ist man fe, braucht man ihn wieder da ganze Jahr nicht mehr. -;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01658;Winnweiler;49,57;7,85;von anderen Maschinen, in jedem Beruf braucht man das ganze, das Alltägliche, wo man jeden;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01658;Winnweiler;49,57;7,85;Da braucht man sich nicht überstürzen.;;MV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01694;Nanzdietschweiler;49,44;7,44;Aber ihr braucht nicht erst auf die Kirmes zu warten, bis es wieder ein bißchen schöner ist ;NULL;MV;
ZW--_E_01697;Nanzdietschweiler;49,44;7,44;daß man nicht mehr dort hin braucht, nicht?;NULL;VV;
ZW--_E_01718;Dahn;49,15;7,78;umgestellt hat vom Agrarstaat in einen Industriestaat, jetzt braucht man Nadelholz, wo schnellwüchsig ;NULL;VV;
ZW--_E_01725;Waldfischbach-Burgalben;49,28;7,65;meine Sache so hergerichtet. Und heute braucht die Jugend das nicht mehr. - Ja und dann;T;VV;
ZW--_E_01731;Bann;49,39;7,61;Alles braucht man nicht zu wissen, nur eins, eins sollt;NULL;MV;
ZW--_E_01736;Mandelbachtal;49,17;7,17;da an so einem Tag braucht man dich nicht zu rufen. ;NULL;MV;
ZW--_E_01740;St. Ingbert;49,3;7,12;Ganze ein bißchen einfacher ist. Man braucht nicht mehr so viel Zeit und man tut sich halt;NULL;VV;
ZW--_E_01747;Dillingen/ Saar;49,35;6,73;heute hat man es soweit geschafft, daß man es nicht mehr braucht, da kann man sich auf den Stuhl setzen;NULL;VV;
ZW--_E_01783;Merzkirchen;49,58;6,48;wenn neunundneunzig Prozent keinen Wingert haben, dann braucht der Hunderste auch;NULL;VV;
ZW--_E_01784;Merzkirchen;49,58;6,48;man selbst trinkt. Und beim Vieh braucht man welchen jeden Tag, nicht- hier und da;NULL;VV;
ZW--_E_01784;Merzkirchen;49,58;6,48;Ja. Dann braucht man mehr Tage um einzufahren.;NULL;VV;
ZW--_E_01784;Merzkirchen;49,58;6,48;Pferch in dem Pferch laufen lassen, braucht man sich nicht um sie kümmern. Ein Traktor und;NULL;MV;
ZW--_E_01889;Kyllburgweiler;50,5;6,62;Und dann kann man im Sommer dann braucht man im Sommer nur mit Stickstoff nachzuhalten, und dann;NULL;MV;
ZW--_E_01936;Ochsenfurt;49,67;10,05;jetzt auch mit dem Rübenkraut, da braucht man es nicht mehr so hineinzugeben, das war immer;NULL;MV;
ZW--_E_01938;Ochsenfurt;49,67;10,05;Weizenböden haben wir nicht soviel. Da braucht man mehr schwere Böden. Wir haben auch ziemlich Sand;NULL;VV;
