Aufnahmesigle;Ort;Y;X;Beleg;Auslaut;Verwendung;Kommentar
ZW--_E_00763;Erdmannhausen;48,94;9,3;Oh ja, wir verkaufen auch. Das, was man nicht selber braucht, das verkauft man.;T;VV;
ZW--_E_00773;Wiernsheim;48,89;8,85;"ich gesagt: "" Ja, er braucht uns nicht annehmen, wir wissen den Weg wieder retour";T;MV;
ZW--_E_00775;Wiernsheim;48,89;8,85;nicht, wenn man mosten will, braucht man doch auch ein Fass. Alles nichts mehr.;T;VV;
ZW--_E_00794;Michelfeld;49,1;9,68;schon länger daheim. Und Kartoffeln kochen braucht man auch nicht mehr. Bei dem Wetter wäre es;T;VV;
ZW--_E_00794;Michelfeld;49,1;9,68;man in den Wald und gerade jetzt braucht man auch Deckreisig, zum Abdecken und für die Gräber;T;VV;
ZW--_E_00805;Zweiflingen;49,25;9,52;elfen einander zusammen, nicht, da braucht man immer drei, vier Mann, nicht, (danach) ;NULL;VV;
ZW--_E_00812;Dürzbach;49,38;9,7;nicht, wo er keinen Bulldog dazu brauchtt, nicht, wo selber zieht, .;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_00814;Schrozberg;49,34;9,98;Das, was man zu Bändern braucht. Aber vor, vor 20 Jahren weiß ich gut;NULL;VV;
ZW--_E_00817;Schrozberg;49,34;9,98;Nächte so spät hinangehockt. Und UHU braucht man da! Schön- schöne Menge habe ich da;T;VV;
ZW--_E_00830;Wallhausen ;49,21;10,06;( danach) das Brotgetreide, das braucht man halt zum Dreschen- wird( danach) gedroschen;NULL;VV;
ZW--_E_00830;Wallhausen ;49,21;10,06;gemästet mit. Und für die Leute braucht man ja auch ein wenig auch, .;T;VV;
ZW--_E_00831;Wallhausen ;49,21;10,06;Weil die sind mehr haußen, da braucht man nicht gerade so im Dreck.;NULL;VV;undeutlich 
ZW--_E_00833;Wallhausen ;49,21;10,06;lernt im Falle, daß man es braucht	, hat er gesagt, daß wir es auch können;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_00833;Wallhausen ;49,21;10,06;gewesen- haben auch frisches Wasser braucht. Na. So hat man auch müssen draußen umeinander;;VV;
ZW--_E_00836;Creglingen;49,47;10,03;So braucht man wirklich als einmal einen Wagen. Einen Wagen,;T;VV;
ZW--_E_00836;Creglingen;49,47;10,03;Bis dahin war alles Handarbeit und natürlich braucht man da furchtbar lang dazu. Jetzt mit den Maschinen;T;VV;
ZW--_E_00836;Creglingen;49,47;10,03;sozusagen ist da drüber weg, der braucht gar nichts mehr machen jetzt( danach) später,;NULL;MV;
ZW--_E_00855;Füssen;47,57;10,7;Ja, da hat man also da braucht man eine Schaufel und braucht noch ein ein Gspat,;T;VV;
ZW--_E_00855;Füssen;47,57;10,7;also da braucht man eine Schaufel und braucht noch ein ein Gspat, sagt man, ein Gspat;T;VV;
